Brand,Model,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Mileage,Engine,Price
Jeep,Compass 2.0,Mumbai,2017,7000,Diesel,First,17.1 kmpl,1956 CC,17.45
Maruti,Vitara Brezza,Coimbatore,2017,71256,Diesel,First,24.3 kmpl,1248 CC,9.58
Toyota,Corolla Altis,Kochi,2012,83184,Petrol,First,14.28 kmpl,1798 CC,6.22
Mahindra,XUV500 W8,Kolkata,2013,87284,Diesel,First,15.1 kmpl,2179 CC,7.8
BMW,X1 xDrive,Mumbai,2016,7000,Diesel,First,20.68 kmpl,1995 CC,27.75
Hyundai,i20 Magna,Pune,2015,29000,Diesel,Second,22.54 kmpl,1396 CC,7.0
Mercedes-Benz,GLE 350d,Coimbatore,2017,33552,Diesel,First,11.57 kmpl,2987 CC,64.87
Chevrolet,Cruze LTZ,Bangalore,2013,64000,Diesel,Second,17.3 kmpl,1998 CC,6.5
Hyundai,i20 1.2,Jaipur,2011,82000,Petrol,Second,18.5 kmpl,1197 CC,2.7
Honda,Brio S,Mumbai,2012,70000,Petrol,Second,19.4 kmpl,1198 CC,2.5
Nissan,Evalia 2013,Hyderabad,2013,166194,Diesel,First,19.3 kmpl,1461 CC,3.9
Volkswagen,Polo Petrol,Delhi,2015,58000,Petrol,First,16.47 kmpl,1198 CC,3.95
Hyundai,i10 Sportz,Chennai,2010,77000,Petrol,Second,20.36 kmpl,1197 CC,2.1
Chevrolet,Cruze LTZ,Pune,2009,73204,Diesel,Third,18.1 kmpl,1991 CC,3.5
Hyundai,i10 Era,Hyderabad,2007,70000,Petrol,Second,19.81 kmpl,1086 CC,2.0
Maruti,Ertiga VDI,Delhi,2014,79870,Diesel,First,20.77 kmpl,1248 CC,5.35
Honda,Amaze S,Delhi,2013,90000,Diesel,First,25.8 kmpl,1498 CC,3.8
Mercedes-Benz,A Class,Mumbai,2016,17000,Petrol,First,15.5 kmpl,1595 CC,17.25
Hyundai,Grand i10,Kochi,2018,46493,Petrol,First,18.9 kmpl,1197 CC,5.53
Hyundai,i10 Sportz,Pune,2009,68000,Petrol,Third,20.36 kmpl,1197 CC,1.95
Maruti,Swift DDiS,Hyderabad,2017,2000,Diesel,First,28.4 kmpl,1248 CC,8.2
Honda,City 1.3,Pune,1999,140000,Petrol,First,13.0 kmpl,1343 CC,0.9
Toyota,Innova 2.5,Pune,2013,255000,Diesel,Third,12.99 kmpl,2494 CC,6.5
Mini,Cooper Countryman,Coimbatore,2014,45535,Diesel,First,23.8 kmpl,1998 CC,19.41
Fiat,Linea T-Jet,Coimbatore,2016,39228,Petrol,First,15.7 kmpl,1368 CC,6.58
Chevrolet,Aveo 1.4,Mumbai,2011,57000,Petrol,Second,14.49 kmpl,1399 CC,2.1
Hyundai,i10 Era,Chennai,2008,85445,Petrol,Second,19.81 kmpl,1086 CC,2.0
Hyundai,Xcent 1.1,Delhi,2015,54000,Diesel,First,24.4 kmpl,1120 CC,3.7
Maruti,Celerio VXI,Mumbai,2014,53000,Petrol,First,23.1 kmpl,998 CC,3.8
Hyundai,i10 Sportz,Jaipur,2014,60000,Petrol,First,20.36 kmpl,1197 CC,3.25
Renault,Duster 85PS,Coimbatore,2015,65668,Diesel,First,19.87 kmpl,1461 CC,5.53
BMW,3 Series,Ahmedabad,2011,100000,Diesel,Second,22.69 kmpl,1995 CC,10.9
Hyundai,Grand i10,Kolkata,2018,1800,Petrol,First,18.9 kmpl,1197 CC,5.1
Hyundai,Santro DX,Hyderabad,2007,96000,Petrol,Second,0.0 kmpl,999 CC,2.2
Chevrolet,Spark 1.0,Pune,2009,44200,Petrol,Second,18.0 kmpl,995 CC,1.6
Honda,City i,Ahmedabad,2018,14000,Petrol,First,17.4 kmpl,1497 CC,11.25
Volkswagen,Vento Diesel,Chennai,2013,720000,Diesel,First,20.54 kmpl,1598 CC,5.9
Toyota,Fortuner 4x2,Delhi,2012,73000,Diesel,First,11.5 kmpl,2982 CC,14.4
Honda,City 1.5,Delhi,2011,68000,Petrol,First,17.0 kmpl,1497 CC,3.6
BMW,5 Series,Jaipur,2017,19543,Diesel,First,18.12 kmpl,1995 CC,40.5
Audi,Q5 30,Bangalore,2014,38000,Diesel,Second,14.16 kmpl,1968 CC,38.95
Maruti,Ritz LDi,Delhi,2014,32805,Diesel,First,23.2 kmpl,1248 CC,3.6
Volkswagen,Vento 1.5,Kochi,2016,44782,Diesel,First,21.21 kmpl,1498 CC,7.12
Honda,City i,Kochi,2016,55700,Diesel,First,26.0 kmpl,1498 CC,7.52
Audi,A4 New,Delhi,2012,60000,Diesel,Second,15.2 kmpl,1968 CC,10.35
Skoda,Rapid 1.6,Hyderabad,2014,56000,Petrol,First,15.0 kmpl,1598 CC,7.0
Toyota,Fortuner 3.0,Delhi,2011,60000,Diesel,First,11.5 kmpl,2982 CC,10.85
Chevrolet,Optra Magnum,Mumbai,2010,78563,Diesel,First,16.52 kmpl,1991 CC,2.35
Maruti,Eeco 7,Mumbai,2014,34669,Petrol,First,15.1 kmpl,1196 CC,2.9
Maruti,Ciaz ZXi,Delhi,2017,17000,Petrol,First,20.73 kmpl,1373 CC,7.65
Maruti,Ciaz VDi,Delhi,2016,66000,Diesel,First,28.09 kmpl,1248 CC,6.4
Toyota,Innova 2.5,Pune,2014,102418,Diesel,First,12.99 kmpl,2494 CC,10.1
Maruti,Swift Dzire,Kolkata,2014,48800,Petrol,First,19.1 kmpl,1197 CC,4.25
Toyota,Innova Crysta,Kochi,2019,10601,Diesel,First,11.36 kmpl,2755 CC,19.65
Tata,Indica V2,Pune,2017,8200,Diesel,First,25.0 kmpl,1396 CC,4.4
Hyundai,i20 Magna,Jaipur,2012,100000,Petrol,First,18.5 kmpl,1197 CC,3.25
Ford,Fiesta 1.4,Pune,2012,78000,Diesel,First,17.8 kmpl,1399 CC,2.8
Chevrolet,Enjoy 1.3,Kolkata,2015,50000,Diesel,First,18.2 kmpl,1248 CC,4.3
Ford,Fiesta 1.4,Chennai,2006,89327,Diesel,Third,17.8 kmpl,1399 CC,1.55
Honda,CR-V 2.4,Chennai,2007,98000,Petrol,Second,10.8 kmpl,2354 CC,4.7
Honda,Jazz 1.2,Kochi,2017,24700,Petrol,First,18.7 kmpl,1199 CC,7.07
Mercedes-Benz,GLS 350d,Delhi,2018,6000,Diesel,First,11.0 kmpl,2987 CC,79.0
Hyundai,Grand i10,Delhi,2018,9434,Petrol,First,18.9 kmpl,1197 CC,5.75
Maruti,Ritz VXi,Mumbai,2012,29000,Petrol,First,18.5 kmpl,1197 CC,3.25
Volkswagen,Ameo 1.5,Coimbatore,2017,22440,Diesel,First,22.0 kmpl,1498 CC,8.89
Honda,City i,Mumbai,2015,73070,Petrol,First,17.4 kmpl,1497 CC,5.9
Honda,Jazz 1.2,Kolkata,2016,21771,Petrol,First,18.7 kmpl,1199 CC,4.95
Maruti,Swift Ldi,Delhi,2014,62000,Diesel,First,17.8 kmpl,1248 CC,3.75
Hyundai,Creta 1.6,Kochi,2017,37024,Diesel,First,17.01 kmpl,1582 CC,10.97
Audi,A7 2011-2015,Kochi,2014,60336,Diesel,Second,14.4 kmpl,2967 CC,24.94
Hyundai,EON D,Kolkata,2014,26008,Petrol,First,21.1 kmpl,814 CC,1.97
Ford,Figo Diesel,Jaipur,2010,90000,Diesel,Second,20.0 kmpl,1399 CC,1.4
Volkswagen,Ameo 1.2,Coimbatore,2018,35569,Petrol,First,17.0 kmpl,1198 CC,7.27
Renault,Scala Diesel,Kolkata,2013,40000,Diesel,First,21.64 kmpl,1461 CC,4.0
Honda,Jazz 1.2,Kolkata,2015,45000,Petrol,First,18.7 kmpl,1199 CC,4.75
Hyundai,i20 1.2,Delhi,2015,42000,Petrol,First,17.0 kmpl,1197 CC,5.1
Audi,A4 3.0,Coimbatore,2012,46913,Diesel,First,14.94 kmpl,2967 CC,16.11
Mahindra,Ssangyong Rexton,Delhi,2014,62000,Diesel,First,11.18 kmpl,2696 CC,10.55
Toyota,Fortuner 2.8,Ahmedabad,2017,15000,Diesel,First,12.9 kmpl,2755 CC,30.0
Skoda,Octavia Classic,Kolkata,2002,69000,Diesel,First,18.7 kmpl,1896 CC,1.6
Mercedes-Benz,New C-Class,Hyderabad,2012,41367,Diesel,First,15.8 kmpl,2148 CC,18.49
Maruti,Ciaz 1.4,Kochi,2018,15982,Petrol,First,20.73 kmpl,1373 CC,9.96
Maruti,Swift ZDi,Hyderabad,2013,99595,Diesel,Second,22.9 kmpl,1248 CC,4.75
Toyota,Qualis FS,Bangalore,2002,63000,Diesel,Third,13.1 kmpl,2446 CC,3.65
BMW,5 Series,Delhi,2012,49000,Diesel,Second,16.73 kmpl,2495 CC,15.5
Mitsubishi,Pajero 2.8,Kochi,2013,48272,Diesel,First,10.5 kmpl,2835 CC,11.82
Toyota,Corolla H2,Delhi,2008,63000,Petrol,First,13.4 kmpl,1794 CC,2.05
Maruti,Wagon R,Ahmedabad,2016,77000,CNG,First,26.6 km/kg,998 CC,3.3
Maruti,Omni E,Mumbai,2013,11734,Petrol,First,16.8 kmpl,796 CC,2.25
Audi,A6 2011-2015,Kochi,2014,62012,Diesel,First,17.68 kmpl,1968 CC,20.12
Hyundai,Xcent 1.2,Chennai,2017,46000,CNG,First,25.0 km/kg,1197 CC,4.95
Honda,Jazz 1.5,Coimbatore,2016,45449,Diesel,First,27.3 kmpl,1498 CC,7.48
Mercedes-Benz,E-Class 200,Mumbai,2004,85000,Petrol,Second,10.5 kmpl,1796 CC,5.5
Honda,City 1.5,Jaipur,2005,88000,Petrol,Second,13.0 kmpl,1493 CC,1.7
Audi,A4 2.0,Kochi,2013,45330,Diesel,First,16.55 kmpl,1968 CC,13.19
Maruti,Swift Dzire,Mumbai,2012,88000,Petrol,First,19.1 kmpl,1197 CC,3.85
Maruti,Dzire VDI,Delhi,2016,45376,Diesel,First,28.4 kmpl,1248 CC,5.75
Mahindra,XUV500 W8,Pune,2014,81000,Diesel,First,15.1 kmpl,2179 CC,9.0
Chevrolet,Beat LT,Kochi,2012,83381,Petrol,First,18.6 kmpl,1199 CC,2.21
Ford,EcoSport 1.5,Kochi,2017,78526,Diesel,First,23.0 kmpl,1498 CC,8.09
BMW,5 Series,Coimbatore,2017,27313,Diesel,First,14.69 kmpl,2993 CC,48.63
Audi,Q5 30,Coimbatore,2015,42747,Diesel,Second,14.16 kmpl,1968 CC,39.47
BMW,X1 sDrive,Coimbatore,2015,42265,Diesel,Second,20.68 kmpl,1995 CC,22.24
Hyundai,i10 Magna,Mumbai,2009,21000,Petrol,First,19.2 kmpl,1197 CC,2.6
Hyundai,Creta 1.6,Ahmedabad,2016,55100,Diesel,First,17.01 kmpl,1582 CC,12.0
Audi,A4 2.0,Chennai,2014,70000,Diesel,First,17.11 kmpl,1968 CC,18.0
Mercedes-Benz,S Class,Mumbai,2007,55000,Petrol,Third,10.13 kmpl,3498 CC,9.99
Hyundai,i10 Magna,Kolkata,2012,58235,Petrol,First,20.36 kmpl,1197 CC,2.45
Ford,EcoSport 1.5,Mumbai,2017,26000,Diesel,First,23.0 kmpl,1498 CC,8.99
Volkswagen,Vento Diesel,Kolkata,2011,35000,Diesel,First,20.54 kmpl,1598 CC,3.15
Maruti,Dzire ZDI,Jaipur,2017,24000,Diesel,First,28.4 kmpl,1248 CC,8.2
Mahindra,Scorpio 1.99,Ahmedabad,2016,98000,Diesel,First,15.4 kmpl,1997 CC,11.5
Hyundai,i20 Asta,Coimbatore,2016,44487,Diesel,First,22.54 kmpl,1396 CC,7.3
Maruti,Alto LXi,Chennai,2008,65000,Petrol,First,19.7 kmpl,796 CC,1.59
Hyundai,i10 Magna,Delhi,2015,34951,Petrol,Second,20.36 kmpl,1197 CC,3.15
Mahindra,Scorpio S6,Kolkata,2015,52373,Diesel,Second,15.4 kmpl,2179 CC,8.5
Skoda,Fabia 1.2L,Hyderabad,2010,66285,Diesel,First,19.5 kmpl,1199 CC,3.0
BMW,X5 xDrive,Mumbai,2012,66000,Diesel,First,15.3 kmpl,2993 CC,21.0
Honda,Jazz 1.5,Hyderabad,2016,43000,Diesel,First,27.3 kmpl,1498 CC,7.75
Mercedes-Benz,E-Class 2009-2013,Mumbai,2013,45200,Diesel,First,10.0 kmpl,2148 CC,23.0
Mahindra,XUV500 AT,Mumbai,2016,41000,Diesel,First,16.0 kmpl,2179 CC,13.75
Honda,City i,Kochi,2017,39430,Petrol,First,18.0 kmpl,1497 CC,8.29
Maruti,Swift VDI,Coimbatore,2014,83274,Diesel,First,22.9 kmpl,1248 CC,5.79
Mercedes-Benz,New C-Class,Coimbatore,2017,32324,Diesel,First,14.84 kmpl,2143 CC,30.5
Honda,City 1.5,Mumbai,2011,49999,Petrol,First,17.0 kmpl,1497 CC,3.8
Tata,Sumo EX,Bangalore,2014,66000,Diesel,First,15.3 kmpl,2956 CC,4.45
Hyundai,i20 Magna,Delhi,2012,54000,Petrol,First,18.5 kmpl,1197 CC,3.3
Fiat,Linea 1.3,Jaipur,2009,80000,Diesel,Second,20.4 kmpl,1248 CC,1.75
Honda,Civic 2006-2010,Bangalore,2011,72000,Petrol,Second,12.9 kmpl,1799 CC,5.5
Hyundai,Creta 1.6,Pune,2017,44865,Diesel,First,19.67 kmpl,1582 CC,13.35
Audi,A3 35,Delhi,2017,22000,Diesel,Second,20.38 kmpl,1968 CC,22.5
Hyundai,Verna VTVT,Delhi,2013,57478,Petrol,Second,17.0 kmpl,1591 CC,5.25
Hyundai,i20 1.4,Hyderabad,2011,75000,Diesel,First,21.9 kmpl,1396 CC,3.75
Honda,Mobilio S,Kochi,2015,50624,Diesel,First,24.2 kmpl,1498 CC,6.32
Hyundai,Verna 1.6,Bangalore,2018,75000,Diesel,First,22.32 kmpl,1582 CC,7.75
Ford,Fiesta 1.6,Chennai,2006,87000,Petrol,Second,15.3 kmpl,1596 CC,1.37
Hyundai,i10 Sportz,Mumbai,2010,62000,Petrol,First,20.36 kmpl,1197 CC,2.1
Maruti,Vitara Brezza,Hyderabad,2016,41372,Diesel,First,24.3 kmpl,1248 CC,9.3
Toyota,Innova 2.5,Ahmedabad,2015,70000,Diesel,First,12.99 kmpl,2494 CC,12.0
Mercedes-Benz,GLA Class,Pune,2017,35000,Diesel,First,17.9 kmpl,2143 CC,23.5
Maruti,Alto LXi,Hyderabad,2006,71993,Petrol,First,19.7 kmpl,796 CC,1.8
Mercedes-Benz,New C-Class,Chennai,2013,62000,Diesel,Second,14.84 kmpl,2143 CC,12.5
Maruti,Swift LDI,Delhi,2015,51000,Diesel,First,22.9 kmpl,1248 CC,4.74
Hyundai,Grand i10,Kochi,2016,26038,Petrol,First,18.9 kmpl,1197 CC,5.43
Toyota,Fortuner 4x4,Kochi,2018,37713,Diesel,Second,12.55 kmpl,2982 CC,31.62
Toyota,Innova 2.0,Kolkata,2011,78088,Petrol,First,12.4 kmpl,1998 CC,6.3
Ford,EcoSport 1.5,Kochi,2017,30453,Diesel,First,22.77 kmpl,1498 CC,8.45
Ford,Figo 1.2P,Pune,2016,54000,Petrol,First,18.16 kmpl,1196 CC,5.0
Toyota,Fortuner 3.0,Chennai,2011,190000,Diesel,First,11.5 kmpl,2982 CC,13.0
Maruti,Swift Dzire,Hyderabad,2012,65097,Petrol,First,19.1 kmpl,1197 CC,4.7
BMW,7 Series,Coimbatore,2018,28060,Petrol,First,12.05 kmpl,2979 CC,93.67
Skoda,Superb 1.8,Pune,2012,282000,Petrol,First,13.14 kmpl,1798 CC,3.3
Maruti,Wagon R,Jaipur,2009,111000,Petrol,Second,18.9 kmpl,1061 CC,1.51
Renault,Duster 110PS,Kochi,2013,63295,Diesel,First,19.01 kmpl,1461 CC,6.09
Maruti,Ciaz VXi,Mumbai,2015,35770,Petrol,First,20.73 kmpl,1373 CC,5.95
Hyundai,Elantra CRDi,Hyderabad,2012,125928,Diesel,First,22.7 kmpl,1582 CC,9.0
Skoda,Rapid 1.5,Kolkata,2015,45000,Diesel,First,21.66 kmpl,1498 CC,4.25
Mercedes-Benz,New C-Class,Hyderabad,2013,21000,Diesel,First,14.84 kmpl,2143 CC,23.5
Honda,Accord 2.4,Mumbai,2011,54774,Petrol,First,11.7 kmpl,2354 CC,6.35
Maruti,Celerio VXI,Chennai,2014,41123,Petrol,First,23.1 kmpl,998 CC,3.4
BMW,7 Series,Bangalore,2017,17465,Petrol,First,12.05 kmpl,2979 CC,93.0
BMW,3 Series,Chennai,2014,48000,Diesel,First,22.69 kmpl,1995 CC,21.6
Volkswagen,Vento Diesel,Chennai,2011,173000,Diesel,First,20.54 kmpl,1598 CC,4.0
Maruti,Swift Dzire,Pune,2018,12000,Diesel,First,23.4 kmpl,1248 CC,5.5
Land,Rover Freelander,Mumbai,2012,34000,Diesel,First,12.39 kmpl,2179 CC,19.25
Hyundai,i20 1.4,Hyderabad,2012,71360,Diesel,First,21.9 kmpl,1396 CC,3.95
Maruti,Dzire VDI,Mumbai,2012,74000,Diesel,Second,28.4 kmpl,1248 CC,4.25
Jeep,Compass 2.0,Kochi,2018,28937,Diesel,First,17.1 kmpl,1956 CC,17.02
Maruti,Ertiga VDI,Hyderabad,2012,82085,Diesel,First,20.77 kmpl,1248 CC,6.5
Ford,Figo Petrol,Bangalore,2011,68465,Petrol,First,15.6 kmpl,1196 CC,2.95
Toyota,Corolla Altis,Coimbatore,2013,63854,Diesel,First,21.43 kmpl,1364 CC,7.12
Maruti,Vitara Brezza,Chennai,2018,3000,Diesel,First,24.3 kmpl,1248 CC,11.25
Honda,City 1.5,Delhi,2009,65055,Petrol,First,17.0 kmpl,1497 CC,2.75
Mahindra,Scorpio S10,Hyderabad,2015,120000,Diesel,First,15.4 kmpl,2179 CC,12.0
Hyundai,Xcent 1.2,Mumbai,2014,64241,Petrol,First,20.14 kmpl,1197 CC,3.67
Mercedes-Benz,E-Class 220,Pune,2001,121000,Diesel,First,15.0 kmpl,2148 CC,5.0
Mahindra,Renault Logan,Pune,2008,2200,Petrol,First,15.7 kmpl,1390 CC,2.3
Skoda,Octavia 1.9,Pune,2008,88123,Diesel,First,18.7 kmpl,1896 CC,2.2
Mercedes-Benz,GL-Class 2007,Pune,2014,79000,Diesel,First,12.0 kmpl,2987 CC,41.0
BMW,X1 sDrive,Bangalore,2016,28143,Diesel,First,20.68 kmpl,1995 CC,28.5
Volkswagen,Vento 2013-2015,Mumbai,2015,23001,Petrol,First,15.04 kmpl,1598 CC,5.49
Audi,A4 2.0,Ahmedabad,2013,82002,Diesel,Second,16.55 kmpl,1968 CC,17.5
Ford,Ikon 1.4,Bangalore,2009,75000,Diesel,First,13.8 kmpl,1399 CC,1.99
Hyundai,Verna 1.6,Kochi,2016,37451,Diesel,First,22.32 kmpl,1582 CC,6.64
Toyota,Innova Crysta,Hyderabad,2017,67000,Diesel,First,13.68 kmpl,2393 CC,16.5
Hyundai,Grand i10,Pune,2016,25000,Petrol,First,18.9 kmpl,1197 CC,5.0
Volkswagen,Ameo 1.2,Mumbai,2017,12000,Petrol,First,17.0 kmpl,1198 CC,5.4
Renault,KWID RXT,Kolkata,2017,25000,Petrol,First,25.17 kmpl,799 CC,2.99
Honda,City 1.5,Jaipur,2011,95936,Petrol,First,17.0 kmpl,1497 CC,4.1
Hyundai,Grand i10,Kochi,2018,5354,Petrol,First,18.9 kmpl,1197 CC,6.76
Volkswagen,Polo 1.0,Chennai,2016,42000,Petrol,Second,18.78 kmpl,999 CC,5.5
Maruti,Swift VDI,Coimbatore,2014,44282,Diesel,First,25.2 kmpl,1248 CC,5.99
Nissan,Sunny 2011-2014,Delhi,2012,70000,Diesel,First,21.64 kmpl,1461 CC,2.59
Jaguar,XF 2.2,Mumbai,2013,31400,Diesel,First,16.36 kmpl,2179 CC,26.75
Maruti,Ciaz ZDi,Pune,2016,50000,Diesel,First,28.09 kmpl,1248 CC,8.5
Audi,Q5 2008-2012,Bangalore,2011,53000,Diesel,First,12.8 kmpl,1968 CC,23.0
Ford,Figo Petrol,Pune,2014,21727,Petrol,First,15.6 kmpl,1196 CC,3.35
Hyundai,Santa Fe,Bangalore,2012,43000,Diesel,Second,11.72 kmpl,2199 CC,10.75
Mahindra,Scorpio VLX,Kolkata,2013,75000,Diesel,First,12.05 kmpl,2179 CC,6.29
Renault,Duster 110PS,Bangalore,2014,73557,Diesel,First,19.6 kmpl,1461 CC,7.75
Audi,A4 New,Delhi,2012,44555,Diesel,First,15.2 kmpl,1968 CC,13.5
Maruti,Eeco 7,Coimbatore,2013,54885,Petrol,First,15.1 kmpl,1196 CC,3.75
Mahindra,Xylo E4,Mumbai,2011,76000,Diesel,Second,14.0 kmpl,2498 CC,3.75
Maruti,Wagon R,Jaipur,2006,101000,Petrol,Second,18.9 kmpl,998 CC,1.5
Maruti,Wagon R,Chennai,2005,66000,Petrol,First,14.0 kmpl,1061 CC,1.45
Maruti,SX4 ZXI,Coimbatore,2013,84360,Petrol,First,15.5 kmpl,1586 CC,4.12
Toyota,Innova Crysta,Mumbai,2016,25121,Diesel,First,13.68 kmpl,2393 CC,17.11
Toyota,Innova 2.5,Pune,2015,100000,Diesel,Second,12.99 kmpl,2494 CC,10.25
Volkswagen,Polo Diesel,Kolkata,2011,66035,Diesel,First,22.07 kmpl,1199 CC,2.49
Toyota,Etios G,Pune,2015,190000,Petrol,Second,16.78 kmpl,1496 CC,3.85
Ford,Ecosport 1.5,Hyderabad,2014,85670,Diesel,First,22.7 kmpl,1498 CC,6.25
Hyundai,Grand i10,Hyderabad,2015,35000,Diesel,First,24.0 kmpl,1120 CC,4.88
Honda,City i,Mumbai,2016,8000,Petrol,First,18.0 kmpl,1497 CC,9.45
Toyota,Innova 2.5,Hyderabad,2007,162000,Diesel,Second,12.8 kmpl,2494 CC,4.8
Hyundai,EON Era,Kolkata,2012,60000,Petrol,First,21.1 kmpl,814 CC,1.99
Hyundai,i10 Magna,Hyderabad,2010,70600,Petrol,First,20.36 kmpl,1197 CC,2.8
Mercedes-Benz,E-Class 2009-2013,Bangalore,2011,25000,Petrol,Second,12.3 kmpl,1796 CC,22.0
Mahindra,Bolero SLE,Hyderabad,2012,75000,Diesel,First,15.96 kmpl,2523 CC,4.3
Skoda,Laura Ambition,Coimbatore,2014,85071,Diesel,First,20.0 kmpl,1968 CC,9.75
Maruti,Swift ZXI,Ahmedabad,2015,40000,Petrol,First,20.4 kmpl,1197 CC,5.9
Audi,A4 2.0,Delhi,2013,67000,Diesel,First,16.55 kmpl,1968 CC,14.5
Ford,Fiesta 1.4,Hyderabad,2009,55000,Diesel,Second,17.8 kmpl,1399 CC,2.4
Maruti,SX4 Vxi,Mumbai,2008,62000,Petrol,Second,15.0 kmpl,1586 CC,2.11
Hyundai,Grand i10,Coimbatore,2017,22526,Petrol,First,18.9 kmpl,1197 CC,7.6
Maruti,Ritz AT,Hyderabad,2012,57788,Petrol,First,17.16 kmpl,1197 CC,3.6
Mahindra,Scorpio 2.6,Jaipur,2013,72000,Diesel,First,10.5 kmpl,2179 CC,6.0
Mahindra,Scorpio S4,Mumbai,2014,83128,Diesel,First,15.4 kmpl,2179 CC,7.45
Maruti,Alto LXi,Chennai,2011,75000,Petrol,First,19.7 kmpl,796 CC,2.1
Renault,Duster 110PS,Ahmedabad,2013,58000,Diesel,Second,19.01 kmpl,1461 CC,5.2
Mahindra,Jeep MM,Hyderabad,2009,26000,Diesel,First,0.0 kmpl,2498 CC,6.99
Maruti,Ignis 1.2,Mumbai,2017,1000,Petrol,First,20.89 kmpl,1197 CC,6.36
Toyota,Innova 2.5,Kochi,2015,59751,Diesel,First,12.99 kmpl,2494 CC,11.62
BMW,7 Series,Kochi,2015,29966,Diesel,Second,16.77 kmpl,2993 CC,43.6
Hyundai,Sonata Embera,Kolkata,2009,65000,Diesel,Second,13.6 kmpl,1991 CC,4.9
Renault,Duster Adventure,Kochi,2015,75863,Diesel,First,19.01 kmpl,1461 CC,6.7
Maruti,Wagon R,Mumbai,2013,54000,CNG,First,33.54 km/kg,998 CC,3.05
Audi,A4 2.0,Bangalore,2014,24000,Diesel,First,17.11 kmpl,1968 CC,25.0
Jeep,Compass 2.0,Coimbatore,2018,33218,Diesel,First,17.1 kmpl,1956 CC,19.05
Hyundai,Verna 1.4,Kolkata,2015,33425,Petrol,First,17.43 kmpl,1396 CC,4.5
Honda,Amaze VX,Pune,2013,47000,Petrol,First,18.0 kmpl,1198 CC,4.15
Hyundai,Creta 1.6,Chennai,2015,41000,Diesel,First,19.67 kmpl,1582 CC,11.9
Hyundai,i10 Magna,Delhi,2011,62000,Petrol,First,19.81 kmpl,1086 CC,2.1
Mahindra,TUV 300,Delhi,2016,47035,Diesel,First,18.49 kmpl,1493 CC,6.95
Maruti,Swift Dzire,Pune,2008,56230,Petrol,Second,17.5 kmpl,1298 CC,2.4
Hyundai,Accent GLE,Chennai,2007,55000,Petrol,First,13.2 kmpl,1495 CC,2.65
Mahindra,XUV500 W8,Jaipur,2014,70669,Diesel,First,15.1 kmpl,2179 CC,9.0
Maruti,Alto K10,Pune,2012,69000,Petrol,First,20.92 kmpl,998 CC,2.1
Chevrolet,Beat LT,Pune,2011,65000,Petrol,Second,18.6 kmpl,1199 CC,2.5
Audi,A6 2.7,Mumbai,2009,30000,Diesel,First,12.4 kmpl,2698 CC,8.95
Mini,Cooper 5,Hyderabad,2017,2000,Diesel,First,20.7 kmpl,1496 CC,34.0
Maruti,Swift 1.3,Pune,2011,24255,Petrol,First,16.1 kmpl,,3.15
Tata,Zest Revotron,Chennai,2015,40000,Petrol,First,17.57 kmpl,1193 CC,4.0
Honda,City i,Kolkata,2014,40000,Diesel,First,26.0 kmpl,1498 CC,4.45
Chevrolet,Beat LT,Jaipur,2010,26000,Petrol,First,18.6 kmpl,1199 CC,1.5
Audi,A4 2.0,Jaipur,2011,105000,Diesel,Second,16.55 kmpl,1968 CC,14.5
Ford,Aspire Titanium,Kolkata,2015,2800,Diesel,First,26.1 kmpl,1498 CC,8.41
Hyundai,Verna SX,Mumbai,2014,71000,Diesel,Second,19.08 kmpl,1582 CC,5.45
Honda,City i,Mumbai,2015,32896,Petrol,First,18.0 kmpl,1497 CC,8.9
Hyundai,i10 Sportz,Hyderabad,2012,45000,Petrol,First,20.36 kmpl,1197 CC,3.65
BMW,X3 xDrive20d,Bangalore,2015,65000,Diesel,Second,18.56 kmpl,1995 CC,29.0
Audi,A4 2.0,Mumbai,2013,45200,Diesel,First,16.55 kmpl,1968 CC,13.5
Honda,CR-V 2.4,Hyderabad,2008,82167,Petrol,First,10.1 kmpl,2354 CC,5.4
Hyundai,Grand i10,Coimbatore,2016,37429,Petrol,First,18.9 kmpl,1197 CC,5.89
Maruti,Ciaz ZDi,Hyderabad,2016,46000,Diesel,First,28.09 kmpl,1248 CC,8.45
Honda,City i-VTEC,Delhi,2011,67031,Petrol,First,17.4 kmpl,1497 CC,4.0
BMW,6 Series,Mumbai,2013,30000,Diesel,First,9.52 kmpl,2993 CC,45.0
Maruti,Celerio VXI,Mumbai,2016,47691,Petrol,First,23.1 kmpl,998 CC,3.94
Renault,Koleos 2.0,Jaipur,2011,32531,Diesel,Second,13.73 kmpl,1995 CC,8.0
Ford,Figo Diesel,Hyderabad,2013,71336,Diesel,First,20.0 kmpl,1399 CC,4.1
Toyota,Innova 2.5,Chennai,2006,196000,Diesel,First,12.8 kmpl,2494 CC,6.25
Maruti,Dzire VDI,Kolkata,2015,28193,Diesel,First,28.4 kmpl,1248 CC,5.25
Mercedes-Benz,SLC 43,Coimbatore,2019,2526,Petrol,First,19.0 kmpl,2996 CC,83.96
Hyundai,Santro LP,Coimbatore,2004,52146,Petrol,First,0.0 kmpl,,1.93
Mercedes-Benz,E-Class E,Hyderabad,2013,85000,Diesel,First,16.1 kmpl,1950 CC,21.0
